wall_time_ns,monotonic_time_ns,interface,rx_bytes,rx_packets,rx_errors,rx_dropped,rx_missed_errors,tx_bytes,tx_packets,tx_errors,tx_dropped,collisions
1786699565869519736,4422795675305,enp3s0,94134618191,72150808,0,0,0,90763940,561076,0,0,0
1786699566870485944,4423796641486,enp3s0,94179854613,72188550,0,0,0,91607512,564386,0,0,0
1786699567871429360,4424797584644,enp3s0,94221059299,72220126,0,0,0,91641588,564590,0,0,0
1786699568872231358,4425798386455,enp3s0,94264088233,72253122,0,0,0,91666706,564717,0,0,0
1786699569873048626,4426799203810,enp3s0,94306475607,72285763,0,0,0,91698572,564886,0,0,0
1786699570873883670,4427800039188,enp3s0,94347933917,72317542,0,0,0,91727860,565052,0,0,0
1786699571874807847,4428800963350,enp3s0,94389287145,72349207,0,0,0,91752370,565173,0,0,0
1786699572875652486,4429801808676,enp3s0,94437111629,72395796,0,0,0,93476436,576030,0,0,0
1786699573876709287,4430802864771,enp3s0,94483321665,72461874,0,0,0,96335068,595412,0,0,0
1786699574877688271,4431803843815,enp3s0,94525611563,72494262,0,0,0,96362526,595555,0,0,0
1786699575878495312,4432804650904,enp3s0,94567273671,72526210,0,0,0,96395816,595763,0,0,0
1786699576879327887,4433805483721,enp3s0,94610445907,72559266,0,0,0,96420224,595883,0,0,0
1786699577880165851,4434806321358,enp3s0,94653233829,72592187,0,0,0,96451232,596051,0,0,0
1786699578880999306,4435807155415,enp3s0,94695268121,72624440,0,0,0,96481792,596229,0,0,0
1786699579882064104,4436808219611,enp3s0,94736754761,72656150,0,0,0,96506196,596349,0,0,0
1786699580883047393,4437809202981,enp3s0,94778209651,72687970,0,0,0,96531274,596462,0,0,0
1786699581884010296,4438810166214,enp3s0,94820120387,72720937,0,0,0,96651864,597308,0,0,0
1786699582885010339,4439811166047,enp3s0,94862771461,72753465,0,0,0,96672996,597401,0,0,0
1786699583885992938,4440812148766,enp3s0,94905521251,72786135,0,0,0,96705940,597605,0,0,0
1786699584886948912,4441813104486,enp3s0,94947792173,72818548,0,0,0,96730864,597730,0,0,0
1786699585887735604,4442813892092,enp3s0,94989259609,72850513,0,0,0,96762444,597896,0,0,0
1786699586888515271,4443814670664,enp3s0,95031524739,72883009,0,0,0,96792710,598071,0,0,0
1786699587889322835,4444815478442,enp3s0,95073155509,72914768,0,0,0,96816298,598183,0,0,0
1786699588890037614,4445816193491,enp3s0,95118424763,72949347,0,0,0,96838860,598282,0,0,0
1786699589890826381,4446816982107,enp3s0,95159860347,72981037,0,0,0,96860144,598376,0,0,0
1786699590891577371,4447817732805,enp3s0,95201481729,73012882,0,0,0,96881004,598466,0,0,0
1786699591892314662,4448818471121,enp3s0,95242222935,73044127,0,0,0,96913764,598668,0,0,0
1786699592893012480,4449819167869,enp3s0,95286491331,73078025,0,0,0,96938522,598791,0,0,0
1786699593893738691,4450819894149,enp3s0,95328054989,73110051,0,0,0,96969996,598956,0,0,0
1786699594894535383,4451820690688,enp3s0,95371547075,73143330,0,0,0,96999308,599122,0,0,0
1786699595895317698,4452821473156,enp3s0,95413141409,73175148,0,0,0,97024062,599245,0,0,0
1786699596896040633,4453822196154,enp3s0,95456527693,73208370,0,0,0,97046518,599343,0,0,0
1786699597896830555,4454822986174,enp3s0,95499029321,73240858,0,0,0,97067802,599437,0,0,0
1786699598897617816,4455823773381,enp3s0,95541435291,73273244,0,0,0,97088934,599530,0,0,0
1786699599898399318,4456824554755,enp3s0,95582789033,73304947,0,0,0,97121800,599733,0,0,0
1786699600899261782,4457825417781,enp3s0,95624209815,73336750,0,0,0,97146770,599858,0,0,0
1786699601900150169,4458826305767,enp3s0,95666865023,73369556,0,0,0,97178032,600021,0,0,0
1786699602901181515,4459827337335,enp3s0,95709606173,73402291,0,0,0,97207556,600189,0,0,0
1786699603902107563,4460828262825,enp3s0,95752570609,73435149,0,0,0,97232522,600314,0,0,0
1786699604902796703,4461828952033,enp3s0,95793834851,73466853,0,0,0,97255614,600418,0,0,0
1786699605903511705,4462829667333,enp3s0,95835341985,73498539,0,0,0,97277382,600517,0,0,0
1786699606904301151,4463830456496,enp3s0,95877828023,73530992,0,0,0,97298620,600611,0,0,0
1786699607905098553,4464831253786,enp3s0,95919166311,73562645,0,0,0,97331200,600812,0,0,0
1786699608905866126,4465832021278,enp3s0,95963624945,73596644,0,0,0,97356806,600943,0,0,0
1786699609906587842,4466832743480,enp3s0,96005018697,73628504,0,0,0,97387856,601104,0,0,0
1786699610907403999,4467833559341,enp3s0,96046415823,73660267,0,0,0,97417910,601277,0,0,0
1786699611908188488,4468834343626,enp3s0,96087922277,73691980,0,0,0,97441816,601392,0,0,0
1786699612908970219,4469835125615,enp3s0,96130961379,73724914,0,0,0,97464120,601489,0,0,0
1786699613909768386,4470835923763,enp3s0,96173325757,73757246,0,0,0,97485404,601583,0,0,0
