wall_time_ns,cpu_percent,memory_used_kib,memory_total_kib,gpu_percent,gpu_memory_used_mib,gpu_memory_total_mib,nic_receive_bytes_total,nic_transmit_bytes_total
1786699554072708425,20.469522240527183,25222328,65595064,62,6083,24564,93701766957,129856393
1786699555095343681,20.27138157894737,25267984,65595064,60,6082,24564,93744908298,129884335
1786699556121417825,20.85385878489327,25225884,65595064,64,6084,24564,93788804303,129914145
1786699557145910413,20.65573770491803,25218196,65595064,60,6081,24564,93833772752,129945929
1786699558172164727,22.94141745186399,25221160,65595064,60,6083,24564,93878642672,129977015
1786699559197362155,21.41389231401562,25227348,65595064,63,6081,24564,93921065100,130022739
1786699560223805496,20.78720787207872,25218880,65595064,61,6083,24564,93962885745,130067821
1786699561248000040,21.27659574468085,25255336,65595064,61,6083,24564,94005867930,130104653
1786699562272830334,21.349693251533743,25247700,65595064,63,6083,24564,94048308862,130160624
1786699563296315055,20.64144736842105,25235096,65595064,62,6083,24564,94091552124,130195710
1786699564322825221,63.77049180327869,25259016,65595064,59,6081,24564,94134938615,130232511
1786699565346854410,23.205546492659053,25227068,65595064,64,6083,24564,94176870685,130257721
1786699566371895990,43.66255144032922,25335424,65595064,52,6086,24564,94221533854,130992766
1786699567397168866,22.03459637561779,25244512,65595064,63,6086,24564,94266310073,131143258
1786699568423332832,20.57494866529774,25237292,65595064,62,6086,24564,94308476818,131180250
1786699569450926437,20.94069529652352,25216272,65595064,61,6086,24564,94352988923,131222559
1786699570478099095,20.5978705978706,25232604,65595064,63,6083,24564,94395788901,131261943
1786699571504460673,20.760114425827545,25253340,65595064,61,6085,24564,94437961944,131298573
1786699572537843369,36.09975470155356,25445968,65595064,54,6081,24564,94481435121,131443678
1786699573563926562,44.08735063864854,25711372,65595064,60,6081,24564,94534500337,136182632
1786699574591400404,27.347611202635914,25241548,65595064,62,6089,24564,94578223422,136375324
1786699575617234295,20.304777594728172,25227556,65595064,62,6083,24564,94620382008,136408792
1786699576642091570,21.119281045751634,25255004,65595064,60,6083,24564,94664780273,136441622
1786699577666755253,20.565342072920934,25229416,65595064,62,6083,24564,94708019988,136474256
1786699578690897720,20.640131308986458,25241948,65595064,61,6081,24564,94751764624,136507464
1786699579717105839,22.59654889071487,25240588,65595064,62,6083,24564,94794449523,136568041
1786699580742995246,20.426579163248565,25261872,65595064,60,6083,24564,94836750205,136593353
1786699581768512661,21.5158924205379,25252020,65595064,63,6083,24564,94879927837,136717271
1786699582798149019,22.432210353327854,25228212,65595064,60,6087,24564,94923853575,136741525
1786699583825376975,20.930232558139537,25229968,65595064,61,6081,24564,94967426959,137079075
1786699584852005082,20.737704918032787,25230188,65595064,60,6083,24564,95010977653,137219853
1786699585878898804,20.28747433264887,25266220,65595064,61,6083,24564,95053316219,137252789
1786699586906496607,20.93877551020408,25251728,65595064,63,6083,24564,95096618833,137283479
1786699587929717610,20.74316047366272,25247288,65595064,59,6081,24564,95139643355,137309185
1786699588953713247,20.77334430275607,25260352,65595064,65,6081,24564,95185428022,137336269
1786699589978936190,21.649484536082475,25236320,65595064,61,6081,24564,95228125929,137362323
1786699591004776316,22.67106347897774,25237468,65595064,62,6106,24564,95270744299,137391635
1786699592030276616,22.90983606557377,25252356,65595064,60,6106,24564,95312661567,137447174
1786699593057401624,21.890343698854338,25235020,65595064,60,6106,24564,95358161625,137497946
1786699594083893282,21.20098039215686,25269684,65595064,64,6093,24564,95401895119,137530364
1786699595107615735,20.671305771592305,25248496,65595064,59,6091,24564,95445646809,137562712
1786699596134189105,20.864197530864196,25259036,65595064,62,6115,24564,95488070072,137593466
1786699597157933702,20.69529652351738,25257992,65595064,60,6114,24564,95532392022,137619248
1786699598185467514,23.029045643153527,25251964,65595064,60,6119,24564,95576553913,137653251
1786699599211478268,21.352459016393443,25257828,65595064,59,6115,24564,95619419076,137679749
1786699600235673550,21.23821238212382,25239220,65595064,61,6116,24564,95661686280,137711741
1786699601261122452,20.80758137618459,25231156,65595064,59,6106,24564,95704343321,137743207
1786699602289575776,20.899795501022496,25269432,65595064,62,6110,24564,95748239434,137780294
1786699603314890587,21.79959100204499,25276520,65595064,61,6085,24564,95793142227,137824850
1786699604342464229,20.841847159787495,25234136,65595064,64,6078,24564,95836026065,137853228
1786699605366877780,20.737704918032787,25256924,65595064,61,6071,24564,95878280993,137889384
1786699606392057027,21.87241093620547,25251492,65595064,60,6073,24564,95921057457,137921847
1786699607420629842,21.11065741118824,25232332,65595064,60,6073,24564,95964726949,137950247
1786699608444857638,20.5810147299509,25271272,65595064,60,6074,24564,96008936205,137980887
1786699609471074218,20.25420254202542,25241060,65595064,62,6073,24564,96052216091,138006163
1786699610494280600,20.369609856262834,25252572,65595064,61,6073,24564,96094571780,138038193
1786699611519352918,21.07421074210742,25257568,65595064,60,6073,24564,96136986690,138070619
1786699612544094115,20.55076037813399,25233464,65595064,62,6073,24564,96179910478,138322788
1786699613571016708,19.942315615986814,25246956,65595064,61,6071,24564,96224672664,138353948
1786699614600348426,22.028985507246375,25229840,65595064,60,6071,24564,96270575881,138383308
1786699615622890865,21.41119221411192,25242780,65595064,59,6073,24564,96313531563,138422122
1786699616647345864,20.78028747433265,25261396,65595064,61,6073,24564,96357118908,138458720
1786699617673000339,20.181593066446553,25256356,65595064,61,6073,24564,96400058430,138498475
1786699618698664555,20.80098079280752,25224348,65595064,61,6071,24564,96443482250,138534837
1786699619721782696,20.47599507591301,25252756,65595064,62,6073,24564,96485370855,138567891
1786699620745180535,20.932134096484056,25254116,65595064,60,6071,24564,96527102025,138596143
1786699621771010260,20.297029702970296,25237900,65595064,62,6073,24564,96570909220,138621263
1786699622797247937,21.8091697645601,25251748,65595064,60,6073,24564,96615844806,138645199
1786699623822704944,20.541205412054122,25269792,65595064,60,6071,24564,96658178224,138681739
1786699624847477528,20.606308889799262,25271372,65595064,60,6073,24564,96700853970,138711765
1786699625872077871,20.47599507591301,25255712,65595064,59,6073,24564,96743552074,138747023
1786699626898160837,20.76167076167076,25233688,65595064,65,6073,24564,96786953166,138781311
1786699627921906960,20.558063192449733,25250880,65595064,60,6071,24564,96829380075,138806639
1786699628945263843,20.754716981132077,25231072,65595064,63,6071,24564,96875427816,138837649
1786699629972365300,21.457990115321252,25242336,65595064,59,6073,24564,96918032815,138863511
1786699630995338716,21.703521703521705,25244660,65595064,61,6073,24564,96960581660,138889885
1786699632020258363,20.60032894736842,25266348,65595064,59,6071,24564,97003031030,138926583
1786699633045342503,20.48539695598519,25279832,65595064,60,6073,24564,97046489073,138960849
1786699634071376802,20.80098079280752,25240540,65595064,63,6073,24564,97090493565,139000255
1786699635096296217,20.238095238095237,25249064,65595064,58,6073,24564,97134867938,139031927
1786699636120999945,21.77650429799427,25264944,65595064,62,6073,24564,97177531901,139063425
1786699637144992401,20.565342072920934,25231424,65595064,57,6073,24564,97222036914,139090895
1786699638169668704,22.19482120838471,25242872,65595064,62,6073,24564,97264809624,139117511
1786699639195710396,20.994248151191453,25250416,65595064,60,6073,24564,97308272441,139157855
1786699640222913482,20.877768662838392,25233496,65595064,61,6073,24564,97351493363,139196095
1786699641248726240,21.063394683026583,25252568,65595064,61,6080,24564,97394309869,139235921
1786699642275648757,20.857142857142858,25238644,65595064,59,6079,24564,97437170007,139270821
1786699643299223744,20.427455815865187,25236080,65595064,60,6081,24564,97480306644,139304655
1786699644326591727,20.541205412054122,25226668,65595064,60,6079,24564,97523124249,139331763
1786699645354856061,20.599097250718096,25246768,65595064,62,6076,24564,97566415800,139366057
1786699646383656395,22.285948381810734,25234524,65595064,61,6076,24564,97608669133,139389067
1786699647409553765,21.273989383421807,25252392,65595064,61,6072,24564,97653050585,139420934
1786699648432201670,20.712239050347932,25255368,65595064,61,6075,24564,97696859723,139454868
1786699649460643917,20.37037037037037,25248200,65595064,61,6075,24564,97740792123,139482308
1786699650483927330,28.600654664484452,25312352,65595064,58,6073,24564,97784131399,140314068
1786699651510299581,21.290587751746816,25282444,65595064,61,6072,24564,97826434313,140350179
1786699652537296374,21.48997134670487,25297380,65595064,58,6075,24564,97868786119,140377563
1786699653563232635,21.75869120654397,25291852,65595064,61,6073,24564,97912068828,140407797
1786699654590615032,24.60155292194524,25320512,65595064,61,6078,24564,97954111327,140573349
1786699655615705516,21.563011456628477,25318692,65595064,60,6074,24564,97997950758,140608573
1786699656641808096,21.48997134670487,25312768,65595064,61,6075,24564,98039511714,140640285
1786699657666051974,21.037581699346404,25305052,65595064,58,6073,24564,98081592286,140671455
1786699658694660696,20.927369716864998,25291728,65595064,60,6072,24564,98124657012,140703491
1786699659719264694,21.026694045174537,25318180,65595064,58,6074,24564,98166459654,140733737
1786699660742633752,21.188524590163933,25320508,65595064,61,6073,24564,98209249614,140757973
1786699661772213136,22.75890298812935,25297040,65595064,63,6075,24564,98250627972,140780309
1786699662797887649,25.913891145410236,25306152,65595064,62,6114,24564,98293378494,140806479
1786699663822297111,21.554192229038854,25329964,65595064,65,6106,24564,98335250104,140842842
1786699664845690966,21.746293245469523,25300600,65595064,61,6105,24564,98377299285,140871924
1786699665872533501,20.977011494252874,25320356,65595064,60,6105,24564,98419461272,140907350
1786699666897487892,21.475409836065573,25296424,65595064,59,6105,24564,98463439846,140949441
1786699667922756303,21.24075595727198,25282464,65595064,61,6079,24564,98505318146,140976221
1786699668945636252,21.577441765427054,25317044,65595064,62,6080,24564,98548702904,140998605
1786699669971558176,22.231370934540962,25310780,65595064,62,6080,24564,98590877420,141020317
1786699670994531139,22.585924713584287,25307732,65595064,62,6077,24564,98633123984,141043297
1786699672018573564,20.983064849235852,25309852,65595064,62,6080,24564,98676166430,141214793
1786699673042820340,21.043978627209206,25319860,65595064,62,6080,24564,98718531196,141326332
1786699674071449459,20.76480263157895,25298960,65595064,58,6078,24564,98762673052,141360724
1786699675098118405,21.17984432609586,25284176,65595064,62,6077,24564,98805457373,141391789
1786699676126182734,21.23567921440262,25322488,65595064,58,6078,24564,98847327383,141420533
1786699677151895357,21.536575398447077,25308316,65595064,62,6080,24564,98889464538,141445371
1786699678180416596,22.89700451374641,25315272,65595064,63,6080,24564,98931471123,141466717
1786699679204482886,21.999180663662433,25319448,65595064,63,6080,24564,98974047196,141503363
1786699680229792991,21.46661204424416,25292556,65595064,62,6080,24564,99015920669,141538105
1786699681254403798,21.311475409836067,25311312,65595064,58,6078,24564,99059087929,141565687
1786699682278994100,21.676891615541923,25303872,65595064,63,6080,24564,99101088975,141613531
1786699683303653191,21.644844517184943,25318688,65595064,62,6077,24564,99143610715,141646797
1786699684329217386,21.152263374485596,25336088,65595064,63,6080,24564,99185758425,141672125
1786699685353004972,23.774509803921568,25338508,65595064,61,6090,24564,99228714996,141700197
1786699686377497680,23.500410846343467,25338704,65595064,62,6088,24564,99271663893,141721209
1786699687404761301,22.46317512274959,25306280,65595064,61,6078,24564,99313335949,141764325
1786699688430562243,21.50142798857609,25346948,65595064,65,6077,24564,99355219635,141800081
1786699689455485943,21.737357259380097,25325424,65595064,59,6075,24564,99397997658,141832469
1786699690479967651,21.046128500823723,25308860,65595064,65,6066,24564,99439961599,141871231
1786699691505696385,21.54854567800082,25322972,65595064,60,6066,24564,99482515614,141907459
1786699692536583334,22.60976610586787,25347248,65595064,63,6068,24564,99525064055,141940908
1786699693562975035,25.356125356125357,25491468,65595064,59,6092,24564,99568179550,141963130
1786699694589570222,24.609695973705833,25289408,65595064,62,6091,24564,99610949691,141986925
1786699695615781860,21.534044298605416,25278824,65595064,59,6078,24564,99653025692,142011911
1786699696643786790,21.16728318947801,25281152,65595064,62,6078,24564,99695715195,142032997
1786699697670272975,21.25307125307125,25281452,65595064,63,6067,24564,99738970844,142055583
1786699698693272167,21.190965092402465,25288576,65595064,58,6067,24564,99781134317,142082827
1786699699718044685,21.03960396039604,25235812,65595064,59,6067,24564,99822565141,142116636
1786699700743384794,21.866009042334568,25258448,65595064,60,6066,24564,99865479129,142133358
1786699701768063820,21.310799670239078,25265636,65595064,59,6068,24564,99907776888,142149776
1786699702791639363,22.81134401972873,25244664,65595064,57,6065,24564,99950214618,142165480
1786699703818460209,20.7166392092257,25244536,65595064,58,6065,24564,99992266675,142199032
1786699704847982086,20.70957095709571,25267524,65595064,63,6066,24564,100035910994,142225163
1786699705873330202,21.153846153846153,25257152,65595064,58,6068,24564,100078289371,142251503
1786699706897590521,23.655030800821354,25248124,65595064,61,6070,24564,100121118630,142283516
1786699707922130819,20.739219712525667,25264628,65595064,60,6070,24564,100162084114,142299554
1786699708946564329,21.510204081632654,25245484,65595064,63,6070,24564,100203965066,142313624
1786699709971934635,31.63771712158809,25276652,65595064,58,6069,24564,100247215305,142328850
1786699710994743749,22.432210353327854,25291204,65595064,62,6070,24564,100289063898,142345590
1786699712021066298,21.266968325791854,25277852,65595064,63,6070,24564,100332804620,142375240
1786699713046742144,21.67487684729064,25266820,65595064,60,6068,24564,100375483597,142399068
1786699714072505127,21.443214432144323,25291196,65595064,58,6069,24564,100418144829,142428910
1786699715095743273,21.410992616899097,25316728,65595064,61,6069,24564,100461688459,142452856
1786699716120567642,23.17826265953067,25265548,65595064,62,6070,24564,100504175430,142481196
1786699717145126776,20.955125566076575,25276016,65595064,61,6070,24564,100547891662,142502461
1786699718172164916,23.099054665022607,25236304,65595064,61,6067,24564,100590146589,142516615
